x,y,z,Pixel Trigger Value,Point Type,Time
41.429041,-10.000002,4.2699928032,6,1,12:08:14.511590
41.42854,-10.000001,4.2699928032,6,1,12:09:08.820794
41.427473,-9.999998,4.2699928032,6,1,12:09:58.829953
41.42677,-10.000003,4.2699928032,7,1,12:10:46.028225
41.423106,-10.000001,4.2699928032,6,1,12:11:18.610054
41.42371,-9.999998,4.2699928032,6,1,12:11:53.599553
41.423992,-10.000003,4.2699928032,6,1,12:12:29.708036
41.423619,-9.999998,4.2699928032,6,1,12:13:04.328231
41.421208,-9.999995,4.2699928032,7,1,12:13:29.312712
41.421272,-10.000002,4.2699928032,6,1,12:13:54.565610
41.421093,-9.999998,4.2699928032,6,1,12:14:19.090232
41.420209,-10.000002,4.2699928032,6,1,12:14:40.050441
41.419761,-9.999999,4.2699928032,6,1,12:14:59.241074
41.418754,-9.999959,4.2699928032,6,1,12:15:14.388227
41.41954,-10.000025,4.2699928032,6,1,12:15:32.693104
41.418591,-10.000016,4.2699928032,6,1,12:15:47.213245
41.418311,-10.000014,4.2699928032,6,1,12:16:00.614897
41.417714,-10.000053,4.2699928032,6,1,12:16:11.576460
41.417774,-10.000008,4.2699928032,6,1,12:16:22.838021
41.417767,-10.000006,4.2699928032,6,1,12:16:34.049673
41.415411,-10.000003,4.2699928032,6,1,12:16:35.830782
41.41746,-9.999996,4.2699928032,6,1,12:16:45.813185
41.417209,-9.999999,4.2699928032,7,1,12:16:54.778863
41.415567,-9.999988,4.2699928032,8,1,12:16:57.198912
41.415529,-9.999996,4.2699928032,7,1,12:16:59.433786
41.415825,-10.000001,4.2699928032,7,1,12:17:02.868521
41.416917,-9.999996,4.2699928032,7,1,12:17:10.697533
41.416694,-9.999998,4.2699928032,6,1,12:17:17.618973
41.416544,-9.999996,4.2699928032,6,1,12:17:23.958668
41.416323,-9.999997,4.2699928032,6,1,12:17:29.372231
