x,y,z,Pixel Trigger Value,Point Type,Time
43.127854,-9.999999,4.8299943186,7,1,11:25:48.560433
43.127197,-9.999999,4.8299943186,6,1,11:25:53.240184
43.127241,-9.999999,4.8299943186,8,1,11:25:57.894390
43.127276,-10.000004,4.8299943186,6,1,11:26:02.588298
43.127802,-9.999994,4.8299943186,6,1,11:26:07.369177
43.128066,-10.000001,4.8299943186,7,1,11:26:12.192357
43.127246,-10.000001,4.8299943186,6,1,11:26:16.847731
43.127223,-10,4.8299943186,8,1,11:26:21.528477
43.125849,-9.999993,4.8299943186,7,1,11:26:25.947928
43.125051,-10.000001,4.8299943186,6,1,11:26:30.235470
43.128022,-9.999998,4.8299943186,6,1,11:26:35.031237
43.125638,-10,4.8299943186,7,1,11:26:39.449704
43.125656,-9.999993,4.8299943186,6,1,11:26:43.872261
43.125673,-10.000004,4.8299943186,7,1,11:26:48.300435
43.126269,-9.999996,4.8299943186,8,1,11:26:52.823053
43.126443,-9.999997,4.8299943186,6,1,11:26:57.377605
43.125628,-10,4.8299943186,6,1,11:27:01.795487
43.126418,-10,4.8299943186,9,1,11:27:06.351249
43.124094,-10.000001,4.8299943186,6,1,11:27:10.510892
43.126463,-10.000004,4.8299943186,6,1,11:27:15.071495
43.127044,-10.000008,4.8299943186,8,1,11:27:19.719869
43.124253,-9.999993,4.8299943186,6,1,11:27:23.914496
43.125065,-9.999998,4.8299943186,6,1,11:27:28.207851
43.126261,-10,4.8299943186,6,1,11:27:32.726279
43.124896,-9.999999,4.8299943186,7,1,11:27:37.021063
43.125026,-10,4.8299943186,7,1,11:27:41.337817
43.125016,-10,4.8299943186,6,1,11:27:45.625506
43.125895,-9.999995,4.8299943186,6,1,11:27:50.055479
43.126457,-10.000003,4.8299943186,7,1,11:27:54.576667
43.124248,-9.999999,4.8299943186,6,1,11:27:58.765267
