x,y,z,Pixel Trigger Value,Point Type,Time
43.111207,-10.000001,4.8299943186,6,1,11:43:58.953440
43.11147,-9.999994,4.8299943186,6,1,11:44:10.574091
43.111599,-10,4.8299943186,6,1,11:44:22.321804
43.111739,-10,4.8299943186,7,1,11:44:34.214260
43.111361,-10,4.8299943186,6,1,11:44:45.687264
43.110845,-10.000004,4.8299943186,6,1,11:44:56.684928
43.109851,-9.999995,4.8299943186,6,1,11:45:06.650983
43.110586,-10.000003,4.8299943186,6,1,11:45:17.383841
43.111205,-9.999999,4.8299943186,6,1,11:45:28.735995
43.110715,-10,4.8299943186,6,1,11:45:39.597574
43.112357,-10.000003,4.8299943186,8,1,11:45:52.101978
43.111961,-10.000001,4.8299943186,6,1,11:46:04.209170
43.111115,-9.999999,4.8299943186,6,1,11:46:15.474127
43.111327,-9.999996,4.8299943186,6,1,11:46:26.953195
43.110584,-9.999998,4.8299943186,6,1,11:46:37.685695
43.111472,-10.000001,4.8299943186,6,1,11:46:49.302997
43.110584,-10,4.8299943186,6,1,11:47:00.035357
43.110469,-9.999998,4.8299943186,6,1,11:47:10.653852
43.109824,-9.999997,4.8299943186,6,1,11:47:20.627737
43.111335,-10.000001,4.8299943186,6,1,11:47:32.108284
43.110481,-9.999996,4.8299943186,6,1,11:47:42.739137
43.111235,-10,4.8299943186,6,1,11:47:54.088459
43.109318,-10.000004,4.8299943186,6,1,11:48:03.563631
43.111343,-10.000001,4.8299943186,6,1,11:48:15.056448
43.11071,-10.000002,4.8299943186,6,1,11:48:25.909400
43.110708,-10.000001,4.8299943186,6,1,11:48:36.767084
43.10968,-10.000001,4.8299943186,6,1,11:48:46.606217
43.110485,-9.999993,4.8299943186,6,1,11:48:57.236738
43.110323,-9.999996,4.8299943186,6,1,11:49:07.700409
43.111105,-10.000002,4.8299943186,6,1,11:49:18.949848
