x,y,z,Pixel Trigger Value,Point Type,Time
43.215343,-9.999996,4.8299943186,17,1,10:49:53.002425
43.21352,-9.999995,4.8299943186,14,1,10:49:53.778070
43.214538,-9.999997,4.8300443232,10,1,10:49:54.642368
43.212056,-9.999994,4.8299943186,11,1,10:49:55.409079
43.214965,-9.999999,4.8299943186,10,1,10:49:56.271013
43.215238,-9.999997,4.8299943186,16,1,10:49:57.158032
43.214676,-9.999996,4.8299943186,14,1,10:49:58.048662
43.215836,-9.999999,4.8299943186,16,1,10:49:58.942995
43.21534,-9.999999,4.8299943186,16,1,10:49:59.835676
43.217377,-9.999991,4.8299943186,16,1,10:50:00.691060
43.215063,-9.999997,4.8299943186,17,1,10:50:01.577353
43.214957,-9.999999,4.8299943186,14,1,10:50:02.470239
43.212677,-9.999996,4.8299943186,14,1,10:50:03.232249
43.214957,-10,4.8299943186,14,1,10:50:04.122259
43.21521,-9.999996,4.8299943186,14,1,10:50:04.981053
43.215168,-10.000002,4.8299943186,19,1,10:50:05.873699
43.212735,-9.999993,4.8299943186,14,1,10:50:06.640563
43.212884,-9.999993,4.8299943186,16,1,10:50:07.400184
43.212627,-9.999993,4.8299943186,16,1,10:50:08.155277
43.212676,-9.999991,4.8299943186,17,1,10:50:08.913668
43.21482,-9.999997,4.8299943186,17,1,10:50:09.795036
43.212682,-9.999994,4.8299943186,12,1,10:50:10.570796
43.212469,-9.999994,4.8299943186,12,1,10:50:11.324487
43.212811,-9.999992,4.8299943186,13,1,10:50:12.081150
43.21299,-9.999994,4.8299943186,15,1,10:50:12.843314
43.215252,-9.999994,4.8299943186,16,1,10:50:13.607253
43.215087,-9.999989,4.8299943186,20,1,10:50:14.364366
43.215138,-9.999994,4.8299943186,14,1,10:50:15.123286
43.213135,-9.999996,4.8299943186,17,1,10:50:15.853220
43.211919,-9.999997,4.8299943186,12,1,10:50:16.601423
