x,y,z,Pixel Trigger Value,Point Type,Time
43.123872,-10,4.8299943186,8,1,11:28:30.059914
43.125177,-10.000004,4.8299943186,7,1,11:28:35.243668
43.123823,-10,4.8299943186,6,1,11:28:40.154334
43.123335,-9.999997,4.8299943186,6,1,11:28:44.969936
43.125166,-10.000001,4.8299943186,9,1,11:28:50.156004
43.12404,-10,4.8299943186,8,1,11:28:55.077587
43.122532,-9.999998,4.8299943186,6,1,11:28:59.731330
43.123957,-9.999998,4.8299943186,7,1,11:29:04.675710
43.123397,-9.999998,4.8299943186,7,1,11:29:09.470805
43.122687,-10.000004,4.8299943186,6,1,11:29:14.149758
43.122673,-10.000002,4.8299943186,6,1,11:29:18.805550
43.126501,-10.000002,4.8299943186,6,1,11:29:24.259016
43.122738,-10,4.8299943186,6,1,11:29:28.915982
43.123859,-10,4.8299943186,7,1,11:29:33.825958
43.121374,-10.000001,4.8299943186,6,1,11:29:38.245609
43.123388,-10.000008,4.8299943186,7,1,11:29:43.075628
43.121922,-9.999995,4.8299943186,6,1,11:29:47.596093
43.12205,-10.000002,4.8299943186,6,1,11:29:52.140889
43.122707,-9.999998,4.8299943186,6,1,11:29:56.834928
43.123176,-10,4.8299943186,7,1,11:30:01.616560
43.123225,-9.999999,4.8299943186,7,1,11:30:06.404637
43.121393,-9.999999,4.8299943186,6,1,11:30:10.828367
43.122032,-10,4.8299943186,6,1,11:30:15.378374
43.122075,-10,4.8299943186,8,1,11:30:19.939566
43.121359,-9.999999,4.8299943186,6,1,11:30:24.354329
43.121352,-10.000001,4.8299943186,6,1,11:30:28.781213
43.121603,-10.000004,4.8299943186,6,1,11:30:33.212504
43.120861,-10,4.8299943186,6,1,11:30:37.493775
43.121596,-10.000002,4.8299943186,6,1,11:30:41.926733
43.121356,-10.000003,4.8299943186,6,1,11:30:46.307822
