x,y,z,Pixel Trigger Value,Point Type,Time
43.214053,-9.999994,4.829944314,12,1,10:50:47.702833
43.214351,-10.000001,4.829944314,7,1,10:50:48.557701
43.20694,-9.999995,4.829944314,12,1,10:50:49.320462
43.208987,-10.000002,4.8299943186,15,1,10:50:50.198525
43.209016,-10,4.8299943186,12,1,10:50:51.091624
43.207147,-9.999996,4.8299943186,9,1,10:50:51.863965
43.206583,-9.999997,4.8299943186,8,1,10:50:52.620106
43.206867,-9.999995,4.8299943186,14,1,10:50:53.375587
43.207097,-9.999999,4.8299943186,14,1,10:50:54.138368
43.206822,-9.999995,4.8299943186,9,1,10:50:54.896817
43.20886,-9.999993,4.8299943186,13,1,10:50:55.656972
43.208801,-9.999994,4.8299943186,17,1,10:50:56.416258
43.208913,-9.999997,4.8299943186,18,1,10:50:57.177433
43.206607,-10,4.8299943186,7,1,10:50:57.900494
43.208405,-9.999994,4.8299943186,14,1,10:50:58.687527
43.206794,-9.999995,4.8299943186,15,1,10:50:59.548157
43.206584,-9.999993,4.8299943186,17,1,10:51:00.303821
43.20663,-9.999994,4.8299943186,13,1,10:51:01.064672
43.207086,-9.999994,4.8299943186,14,1,10:51:01.829426
43.207301,-9.999998,4.8299943186,15,1,10:51:02.595587
43.206731,-10,4.8299943186,15,1,10:51:03.343940
43.207021,-9.999992,4.8299943186,14,1,10:51:04.102526
43.206635,-9.999993,4.8299943186,10,1,10:51:04.859252
43.206852,-9.999995,4.8299943186,16,1,10:51:05.620494
43.206912,-9.999991,4.8299943186,10,1,10:51:06.389175
43.206843,-9.999996,4.8299943186,11,1,10:51:07.139368
43.206742,-9.999997,4.8299943186,13,1,10:51:07.898959
43.206698,-9.999994,4.8299943186,14,1,10:51:08.657015
43.207147,-9.999995,4.8299943186,15,1,10:51:09.426426
43.208296,-9.999991,4.8299943186,16,1,10:51:10.171931
