40.110674,-6.000002,3.8604051246,7
40.196255,-5.999961,3.8627553408,8
40.102227,-5.999995,3.876856638,7
40.197101,-5.999962,3.8637554328,6
40.093133,-6.000001,3.8793068634,6
40.195829,-5.999974,3.8640554604,9
40.11608,-5.999997,3.8530544484,6
40.196091,-6.000031,3.8627053362,7
40.10067,-5.999994,3.8778067254,6
40.195063,-6.000035,3.8614552212,6
40.091789,-5.999995,3.880606983,6
40.195818,-6.000054,3.8628053454,7
40.115957,-5.999999,3.8530544484,8
40.196221,-5.999995,3.8627553408,7
40.101906,-6,3.8777067162,9
40.195014,-6.000032,3.8625053178,11
40.091933,-5.999996,3.8790068358,7
40.194786,-5.999992,3.8614052166,8
40.11081,-5.999993,3.8593050234,7
40.196129,-5.999985,3.8614052166,8
40.100934,-6.000004,3.8768066334,8
40.195857,-6.000038,3.8602551108,6
40.093374,-5.999999,3.8780567484,7
40.195168,-6.000044,3.8613052074,9
40.108463,-5.999996,3.8732063022,8
40.19499,-6.000047,3.8590550004,6
40.102132,-5.999999,3.8768066334,10
40.19503,-5.999957,3.8597550648,7
40.091991,-6.000002,3.8804069646,7
40.196159,-6.00004,3.860105097,6
40.109798,-6.000004,3.8605551384,7
40.19495,-6.000013,3.8614552212,8
40.104607,-6.000001,3.8750564724,11
40.1962,-6.000005,3.8600550924,8
40.093393,-5.999991,3.879356868,8
40.195091,-6.000037,3.8599550832,7
