x,y,z,Pixel Trigger Value,Point Type,Time
43.18561,-10,4.8299943186,10,1,10:54:41.322351
43.182839,-9.999996,4.8299943186,6,1,10:54:42.167078
43.185032,-9.999997,4.8299943186,11,1,10:54:43.071480
43.184918,-10,4.8299943186,12,1,10:54:43.958296
43.183117,-10.000001,4.8299943186,6,1,10:54:44.845717
43.184663,-9.999999,4.8299943186,6,1,10:54:45.698397
43.185425,-9.999992,4.8299943186,8,1,10:54:46.729335
43.184938,-9.999994,4.8299943186,9,1,10:54:47.629611
43.184053,-9.999997,4.8299943186,10,1,10:54:48.477530
43.182977,-10.000008,4.8299943186,6,1,10:54:49.362241
43.183066,-9.999996,4.8299943186,6,1,10:54:50.257907
43.182887,-9.999995,4.8299943186,6,1,10:54:51.146182
43.182666,-9.999998,4.8299943186,7,1,10:54:52.042186
43.185496,-10.000001,4.8299943186,7,1,10:54:53.031721
43.182846,-9.999997,4.8299943186,6,1,10:54:53.920948
43.182856,-10,4.8299943186,8,1,10:54:54.807358
43.182816,-9.999999,4.8299943186,7,1,10:54:55.706704
43.184846,-10.000002,4.8299943186,12,1,10:54:56.568028
43.182334,-9.999996,4.8299943186,6,1,10:54:57.327830
43.182376,-9.999995,4.8299943186,8,1,10:54:58.088633
43.182246,-10.000001,4.8299943186,9,1,10:54:58.844378
43.182457,-10.000001,4.8299943186,6,1,10:54:59.607595
43.182081,-9.999998,4.8299943186,8,1,10:55:00.356873
43.182235,-9.999995,4.8299943186,6,1,10:55:01.118793
43.184679,-10,4.8299943186,11,1,10:55:02.008005
43.184908,-9.999998,4.8299943186,8,1,10:55:02.900278
43.183043,-9.999999,4.8299943186,9,1,10:55:03.665549
43.182904,-9.999996,4.8299943186,8,1,10:55:04.421570
43.182935,-9.999999,4.8299943186,9,1,10:55:05.276606
43.182376,-9.999999,4.8299943186,7,1,10:55:06.043029
