x,y,z,Pixel Trigger Value,Point Type,Time
73.735429,35.000002,-1.0099929108,11,1,19:35:53.782116
73.716028,35.000006,-1.0099929108,2,2,19:36:00.347730
73.725729,35.000004,-0.9895410294,10,3,19:36:06.923617
73.733607,34.999999,-1.0149933708,11,1,19:36:24.482115
73.713701,35,-1.0149933708,1,2,19:36:31.041890
73.723656,35,-0.9941914572,7,3,19:36:37.617344
73.739904,34.999999,-1.0179936468,11,1,19:36:56.431300
73.847239,34.999994,-1.0179936468,8,2,19:37:28.247127
73.793571,35,-1.043095956,10,3,19:37:44.392100
73.738,35.158985,-1.0099929108,14,1,19:38:04.088474
73.718454,35.158982,-1.0099929108,1,2,19:38:10.662958
73.728228,35.158987,-0.9894410202,8,3,19:38:17.219841
73.751094,35.158982,-1.0149933708,11,1,19:38:38.317976
73.840746,35.15899,-1.0149933708,9,2,19:39:06.607401
73.795921,35.158983,-1.0336950912,6,3,19:39:21.256979
73.7538,35.158986,-1.0179936468,11,1,19:39:43.470521
73.83605,35.158982,-1.0179936468,9,2,19:40:10.255145
73.794925,35.158986,-1.0324449762,9,3,19:40:24.136081
