x,y,z,Pixel Trigger Value,Point Type,Time
73.65601,37.700002,-0.6100061154,7,1,12:11:37.220515
73.639014,37.7,-0.6100061154,0,2,12:11:44.151645
73.647516,37.700011,-0.5899042662,0,3,12:11:50.725771
73.662494,37.699999,-0.6150065754,4,1,12:12:24.715861
73.655119,37.700003,-0.6150065754,0,2,12:12:33.540296
73.658808,37.700004,-0.6104061522,3,3,12:12:43.274292
73.661215,37.700003,-0.6200070354,4,1,12:13:16.978877
73.653612,37.700006,-0.6200070354,0,2,12:13:25.809036
73.657416,37.700007,-0.6109562028,3,3,12:13:34.658481
73.64913,37.612639,-0.6100061154,4,1,12:14:05.983485
73.645412,37.61264,-0.6100061154,2,2,12:14:15.587704
73.64727,37.612644,-0.5901042846,0,3,12:14:22.257839
73.657317,37.612636,-0.6150065754,4,1,12:14:55.247694
73.638223,37.612638,-0.6150065754,0,2,12:15:01.800368
73.647769,37.612631,-0.5944546848,0,3,12:15:08.363335
73.662414,37.612641,-0.6200070354,5,1,12:15:42.456591
73.651724,37.612636,-0.6200070354,0,2,12:15:50.681651
73.657074,37.612639,-0.6162066858,2,3,12:16:00.512227
73.647896,37.624547,-0.6100061154,4,1,12:16:31.574156
73.644186,37.624553,-0.6100061154,3,2,12:16:41.182512
73.646039,37.624544,-0.5895042294,1,3,12:16:47.739394
73.672094,37.62455,-0.6150065754,4,1,12:17:23.614583
73.652798,37.624542,-0.6150065754,1,2,12:17:30.160424
73.662444,37.624544,-0.5945046894,1,3,12:17:36.722615
73.661758,37.624556,-0.6200070354,6,1,12:18:10.698114
73.653817,37.624556,-0.6200070354,0,2,12:18:19.413490
73.657788,37.624558,-0.6147065478,2,3,12:18:29.002227
