x,y,z,Pixel Trigger Value,Point Type,Time
73.735308,35.000002,-1.0099929108,12,1,19:20:00.255919
73.842651,35,-1.0099929108,10,2,19:20:32.079705
73.788979,35.000002,-1.0409457582,10,3,19:20:49.380292
73.734116,35,-1.0149933708,11,1,19:21:07.690484
73.715187,34.999998,-1.0149933708,0,2,19:21:14.262468
73.724652,34.999998,-0.9943914756,9,3,19:21:20.827508
73.738688,35.000001,-1.0179936468,11,1,19:21:39.388375
73.71909,34.999995,-1.0179936468,1,2,19:21:45.952600
73.728893,34.999996,-0.998091816,7,3,19:21:52.644625
73.729781,34.948975,-1.0099929108,11,1,19:22:09.711262
73.709905,34.948975,-1.0099929108,1,2,19:22:16.277805
73.719844,34.948972,-0.9894910248,4,3,19:22:22.812776
73.732275,34.948971,-1.0149933708,12,1,19:22:40.009884
73.712424,34.948983,-1.0149933708,1,2,19:22:46.576180
73.72235,34.948977,-0.9944914848,10,3,19:22:53.142590
73.732177,34.948976,-1.0179936468,11,1,19:23:10.315190
73.712262,34.948972,-1.0179936468,0,2,19:23:16.883101
73.722218,34.948969,-0.9974417562,8,3,19:23:23.446996
