x,y,z,Pixel Trigger Value,Point Type,Time
73.461341,33.000002,-1.3599751062,6,1,10:52:06.804606
73.618615,33.000002,-1.3599751062,5,2,10:52:48.613465
73.53998,33.000004,-1.4114798442,5,3,10:53:10.328030
73.463158,33.000001,-1.3649755662,6,1,10:53:34.955237
73.446047,32.999998,-1.3649755662,1,2,10:53:41.882189
73.454602,32.999993,-1.3449737262,5,3,10:53:48.444764
73.463314,32.999999,-1.3699760262,6,1,10:54:12.192828
73.444401,33.000001,-1.3699760262,1,2,10:54:18.884055
73.453857,32.999998,-1.3495741494,4,3,10:54:25.452000
73.453725,32.81163,-1.3599751062,7,1,10:54:48.686329
73.621134,32.811637,-1.3599751062,5,2,10:55:32.521302
73.537432,32.811635,-1.427381307,5,3,10:55:57.390173
73.457492,32.811629,-1.3649755662,7,1,10:56:20.877731
73.619862,32.811629,-1.3649755662,5,2,10:57:03.681246
73.538678,32.81163,-1.4239309896,4,3,10:57:26.789076
73.461162,32.811634,-1.3699760262,6,1,10:57:50.913624
73.615189,32.811637,-1.3699760262,5,2,10:58:32.074563
73.538179,32.811638,-1.419880617,5,3,10:58:53.438711
