x,y,z,Pixel Trigger Value,Point Type,Time
73.477654,33.999997,-1.3000195908,8,1,13:42:28.074456
73.612729,33.999995,-1.3000195908,4,2,13:43:05.442792
73.545192,33.999994,-1.3619252856,5,3,13:43:29.072262
73.478318,33.999998,-1.3050200508,9,1,13:43:56.971057
73.459399,34.000002,-1.3050200508,1,2,13:44:03.533332
73.468862,33.999997,-1.284618174,2,3,13:44:10.105746
73.473312,33.999996,-1.3100205108,6,1,13:44:35.982231
73.454065,33.999999,-1.3100205108,0,2,13:44:42.554984
73.463686,34.000001,-1.2895186248,2,3,13:44:49.116812
73.461296,33.656796,-1.3000195908,7,1,13:45:15.388408
73.610359,33.656798,-1.3000195908,5,2,13:45:55.557813
73.535828,33.656794,-1.3749764862,5,3,13:46:21.802210
73.449477,33.656797,-1.3050200508,6,1,13:46:43.525378
73.43084,33.656799,-1.3050200508,0,2,13:46:50.095154
73.44016,33.656802,-1.2845181648,1,3,13:46:56.656301
73.467787,33.656798,-1.3100205108,6,1,13:47:21.181240
73.448352,33.656795,-1.3100205108,0,2,13:47:27.716036
73.458069,33.656797,-1.2897686478,2,3,13:47:34.280774
