x,y,z,Pixel Trigger Value,Point Type,Time
41.385386,-9.999999,4.2699928032,6,1,13:25:16.881728
41.385404,-10,4.2699928032,7,1,13:25:20.418104
41.385656,-9.999996,4.2699928032,6,1,13:25:23.979507
41.385646,-9.999998,4.2699928032,10,1,13:25:27.512001
41.384401,-10.000003,4.2699928032,6,1,13:25:30.912354
41.384322,-9.999999,4.2699928032,7,1,13:25:34.302438
41.381706,-10.000002,4.2699928032,6,1,13:25:37.344995
41.381741,-9.999998,4.2699928032,6,1,13:25:40.388505
41.38449,-10.000002,4.2699928032,6,1,13:25:43.793730
41.384614,-10.000002,4.2699928032,6,1,13:25:47.212590
41.384583,-10.000002,4.2699928032,6,1,13:25:50.608907
41.38468,-9.999998,4.2699928032,8,1,13:25:54.139116
41.384326,-10.000002,4.2699928032,7,1,13:25:57.540376
41.383645,-9.999998,4.2699928032,8,1,13:26:00.840737
41.384381,-9.999997,4.2699928032,6,1,13:26:04.244195
41.384314,-10.000002,4.2699928032,6,1,13:26:07.638780
41.384598,-9.999997,4.2699928032,7,1,13:26:11.076160
41.383707,-9.999999,4.2699928032,7,1,13:26:14.347985
41.383653,-9.999998,4.2699928032,6,1,13:26:17.649557
41.384634,-9.999996,4.2699928032,6,1,13:26:21.047920
41.384387,-10,4.2699928032,6,1,13:26:24.446958
41.384366,-9.999998,4.2699928032,6,1,13:26:27.843285
41.384694,-9.999999,4.2699928032,8,1,13:26:31.283182
41.384475,-9.999998,4.2699928032,6,1,13:26:34.689019
41.385356,-9.999998,4.2699928032,8,1,13:26:38.206194
41.383615,-10.000001,4.2699928032,6,1,13:26:41.508326
41.383632,-10.000006,4.2699928032,6,1,13:26:44.777547
41.384359,-9.999996,4.2699928032,6,1,13:26:48.175962
41.384643,-10,4.2699928032,7,1,13:26:51.607412
41.383407,-9.999999,4.2699928032,6,1,13:26:54.876225
