x,y,z,Pixel Trigger Value,Point Type,Time
73.532932,34.7,-0.8100245154,10,1,15:44:47.723042
73.674433,34.700001,-0.8100245154,4,2,15:45:26.354493
73.603681,34.700006,-0.8672797824,5,3,15:45:49.080902
73.532908,34.700005,-0.8150249754,6,1,15:46:07.267618
73.513541,34.700007,-0.8150249754,1,2,15:46:13.830130
73.523225,34.700006,-0.794573094,5,3,15:46:20.407418
73.535941,34.699999,-0.8199754308,10,1,15:46:38.327070
73.669215,34.700002,-0.8199754308,4,2,15:47:15.333582
73.602578,34.700005,-0.8663796996,3,3,15:47:35.795179
73.56688,35.325124,-0.8100245154,7,1,15:48:05.962933
73.546705,35.325125,-0.8100245154,0,2,15:48:12.527473
73.55679,35.325124,-0.8022237978,4,3,15:48:21.639290
73.575817,35.325125,-0.8150249754,7,1,15:48:47.887084
73.643987,35.325124,-0.8150249754,4,2,15:49:11.875260
73.609901,35.325125,-0.8341767372,5,3,15:49:26.532977
73.582138,35.325123,-0.8199754308,9,1,15:49:54.563681
73.562573,35.325123,-0.8199754308,3,2,15:50:01.127194
73.572355,35.325126,-0.8123747316,5,3,15:50:10.230675
73.571935,35.325129,-0.8100245154,6,1,15:50:35.739062
73.552578,35.325125,-0.8100245154,1,2,15:50:42.315484
73.562256,35.325134,-0.8062741704,2,3,15:50:52.280072
73.568845,35.325128,-0.8150249754,6,1,15:51:17.167168
73.550742,35.325126,-0.8150249754,1,2,15:51:23.846262
73.559797,35.325131,-0.8038739496,4,3,15:51:32.183306
73.576988,35.32513,-0.8199754308,7,1,15:51:58.687375
73.557743,35.325127,-0.8199754308,2,2,15:52:05.254201
73.567367,35.325122,-0.8090244234,5,3,15:52:13.744890
