x,y,z,Pixel Trigger Value,Point Type,Time
73.610711,35.999999,-0.8100245154,6,1,12:09:23.339841
73.640565,36.000001,-0.8100245154,3,2,12:09:39.651168
73.625637,35.999998,-0.8320265394,5,3,12:09:54.801259
73.610751,36,-0.8150249754,7,1,12:10:07.800519
73.592791,36.000002,-0.8150249754,1,2,12:10:14.630745
73.601773,36,-0.7942730664,1,3,12:10:21.201062
73.610795,35.999999,-0.8199754308,6,1,12:10:34.074573
73.641772,35.999995,-0.8199754308,5,2,12:10:50.607414
73.626288,36.000003,-0.8344267602,5,3,12:11:04.241492
