x,y,z,Pixel Trigger Value,Point Type,Time
73.592755,38.000001,-0.9899910708,6,1,18:17:44.585670
73.584543,38,-0.9899910708,2,2,18:17:53.293332
73.588651,38.000004,-0.9694891848,3,3,18:17:59.861040
73.592442,38,-0.9949915308,6,1,18:18:29.801537
73.581874,37.999999,-0.9949915308,0,2,18:18:38.120201
73.587158,38.000003,-0.9744896448,1,3,18:18:44.691444
73.594565,37.999996,-0.9999919908,6,1,18:19:14.986181
73.580725,37.999994,-0.9999919908,2,2,18:19:22.574227
73.587647,37.999991,-0.979590114,0,3,18:19:29.139642
