x,y,z,Pixel Trigger Value,Point Type,Time
73.537938,34.700001,-0.8100245154,6,1,11:47:16.201728
73.51882,34.700001,-0.8100245154,0,2,11:47:22.767139
73.528383,34.700005,-0.7895226294,4,3,11:47:29.324497
73.542304,34.699992,-0.8150249754,6,1,11:47:48.669544
73.663633,34.699997,-0.8150249754,5,2,11:48:23.261729
73.602966,34.699993,-0.8632794144,4,3,11:48:44.088163
73.546275,34.699998,-0.8199754308,6,1,11:49:04.922847
73.526667,34.700001,-0.8199754308,1,2,11:49:11.485160
73.536469,34.7,-0.8002736184,5,3,11:49:18.180264
73.522225,34.34047,-0.8100245154,7,1,11:49:36.626931
73.502343,34.340468,-0.8100245154,0,2,11:49:43.192466
73.512284,34.340473,-0.7897226478,2,3,11:49:49.771674
73.524182,34.340471,-0.8150249754,7,1,11:50:05.280623
73.504523,34.340471,-0.8150249754,0,2,11:50:11.847243
73.514352,34.340469,-0.794573094,5,3,11:50:18.422390
73.524754,34.340472,-0.8199754308,6,1,11:50:34.073136
73.505186,34.340471,-0.8199754308,0,2,11:50:40.629822
73.51497,34.340473,-0.7997735724,4,3,11:50:47.201903
73.505667,32.229415,-0.8100245154,6,1,11:51:20.039268
73.48624,32.229415,-0.8100245154,1,2,11:51:26.608213
73.495955,32.229412,-0.7895226294,1,3,11:51:33.179435
73.502686,32.229411,-0.8150249754,6,1,11:51:44.406805
73.48311,32.229411,-0.8150249754,1,2,11:51:50.974985
73.492897,32.229415,-0.794823117,0,3,11:51:57.544284
73.493282,32.229407,-0.8200254354,7,1,11:52:06.889740
73.474123,32.229417,-0.8200254354,1,2,11:52:13.451671
73.483702,32.22941,-0.799823577,1,3,11:52:20.020818
73.508796,32.265057,-0.8100245154,6,1,11:52:32.652321
73.48991,32.265057,-0.8100245154,1,2,11:52:39.218900
73.499354,32.265057,-0.7895226294,0,3,11:52:45.791309
73.502734,32.265063,-0.8150249754,6,1,11:52:57.023345
73.483444,32.265063,-0.8150249754,1,2,11:53:03.577566
73.493091,32.265065,-0.794573094,2,3,11:53:10.148804
73.498258,32.26506,-0.8199754308,6,1,11:53:20.645864
73.639235,32.265059,-0.8199754308,4,2,11:53:59.274749
73.56875,32.265056,-0.8488780896,4,3,11:54:16.328484
