x,y,z,Pixel Trigger Value,Point Type,Time
73.735359,35,-0.9999919908,11,1,20:35:02.303568
73.856005,34.999998,-0.9999919908,8,2,20:35:36.768563
73.79568,35.000003,-1.0427959284,10,3,20:35:56.469170
73.734717,35.000002,-1.0049924508,12,1,20:36:14.909570
73.714856,34.999999,-1.0049924508,0,2,20:36:21.481597
73.724785,35.000002,-0.9844905648,6,3,20:36:28.054077
73.737374,34.999999,-1.0079927268,12,1,20:36:46.370637
73.849681,34.999999,-1.0079927268,9,2,20:37:19.178530
73.793527,34.999992,-1.043345979,6,3,20:37:37.361755
73.748607,35.28069,-0.9999919908,13,1,20:38:00.467071
73.845377,35.280691,-0.9999919908,10,2,20:38:30.148407
73.796992,35.28069,-1.0232941344,10,3,20:38:45.819636
73.752503,35.280689,-1.0049924508,11,1,20:39:07.775203
73.842776,35.280691,-1.0049924508,10,2,20:39:36.188324
73.79764,35.280685,-1.0249442862,10,3,20:39:51.239551
73.756708,35.280689,-1.0079927268,13,1,20:40:14.081405
73.839425,35.280692,-1.0079927268,10,2,20:40:40.979965
73.798067,35.280689,-1.0248942816,9,3,20:40:55.371075
