x,y,z,Pixel Trigger Value,Point Type,Time
73.732892,34.999997,-1.0199938308,5,1,17:57:44.981251
73.851693,34.999995,-1.0199938308,3,2,17:58:19.073976
73.792293,34.999997,-1.0475463654,3,3,17:58:35.738489
73.734872,34.999999,-1.0249942908,4,1,17:58:54.163394
73.71594,35.000001,-1.0249942908,0,2,17:59:00.724610
73.725405,34.999998,-1.0045424094,2,3,17:59:07.299488
73.722535,34.999994,-1.0279945668,4,1,17:59:22.577192
73.70313,35.000004,-1.0279945668,0,2,17:59:29.145890
73.712834,35.000005,-1.0075426854,1,3,17:59:35.715174
