x,y,z,Pixel Trigger Value,Point Type,Time
73.537269,34.700003,-0.8100245154,7,1,13:22:12.566926
73.668702,34.700001,-0.8100245154,3,2,13:22:49.193527
73.602985,34.699995,-0.8584289682,4,3,13:23:10.162867
73.539872,34.700004,-0.8150249754,9,1,13:23:29.736455
73.667492,34.700008,-0.8150249754,4,2,13:24:05.585615
73.603682,34.700011,-0.8592290418,4,3,13:24:25.673497
73.542967,34.700003,-0.8199754308,7,1,13:24:45.883888
73.667252,34.700006,-0.8199754308,3,2,13:25:21.101260
73.605108,34.700007,-0.8614292442,4,3,13:25:40.664112
73.527727,34.426801,-0.8100245154,6,1,13:25:59.486690
73.674309,34.426796,-0.8100245154,5,2,13:26:39.158509
73.601018,34.426798,-0.8766806472,4,3,13:27:03.782288
73.529242,34.4268,-0.8150249754,7,1,13:27:21.206559
73.671861,34.426793,-0.8150249754,4,2,13:28:00.094005
73.600556,34.426806,-0.8754305322,5,3,13:28:23.460096
73.527976,34.426799,-0.8199754308,6,1,13:28:40.621282
73.668752,34.426797,-0.8199754308,4,2,13:29:19.144901
73.59836,34.426797,-0.8735303574,5,3,13:29:41.121468
73.534721,34.617456,-0.8100245154,7,1,13:30:00.567266
73.669265,34.617453,-0.8100245154,4,2,13:30:37.806375
73.60199,34.617454,-0.863579442,5,3,13:30:59.776814
73.536694,34.617456,-0.8150249754,8,1,13:31:18.718325
73.666824,34.617457,-0.8150249754,4,2,13:31:55.098351
73.601763,34.617458,-0.864829557,4,3,13:32:16.316035
73.536816,34.617455,-0.8199754308,7,1,13:32:35.243504
73.666884,34.617456,-0.8199754308,5,2,13:33:11.608440
73.60185,34.617455,-0.8642795064,5,3,13:33:31.709307
73.527874,34.448133,-0.8100245154,7,1,13:33:49.491785
73.675623,34.448132,-0.8100245154,4,2,13:34:29.400703
73.601752,34.448131,-0.8778807576,3,3,13:34:54.291281
73.527862,34.448127,-0.8150249754,6,1,13:35:11.452690
73.672441,34.448127,-0.8150249754,3,2,13:35:50.726432
73.600153,34.448131,-0.8758805736,5,3,13:36:14.093456
73.529148,34.448133,-0.8199754308,10,1,13:36:31.526340
73.666173,34.448131,-0.8199754308,5,2,13:37:09.286810
73.597663,34.448137,-0.8740304034,5,3,13:37:31.359379
