x,y,z,Pixel Trigger Value,Point Type,Time
73.610869,36.000001,-0.8100245154,8,1,12:11:37.582808
73.639291,35.999998,-0.8100245154,4,2,12:11:53.617946
73.625079,36.000002,-0.8336766912,5,3,12:12:09.037828
73.609484,35.999996,-0.8150249754,7,1,12:12:21.777891
73.639223,35.999999,-0.8150249754,5,2,12:12:38.079656
73.624355,36.000002,-0.83257659,5,3,12:12:52.335455
73.609474,35.999999,-0.8199754308,7,1,12:13:04.986098
73.640384,36.000003,-0.8199754308,4,2,12:13:21.517917
73.624925,36.000005,-0.8337266958,4,3,12:13:35.019992
