x,y,z,Pixel Trigger Value,Point Type,Time
73.505033,33,-1.2200122308,7,1,16:50:05.715459
73.719814,33,-1.2200122308,4,2,16:50:59.026269
73.612425,32.999993,-1.2974193516,5,3,16:51:26.150821
73.507538,32.999999,-1.2250126908,6,1,16:51:39.290603
73.717807,33.000001,-1.2250126908,5,2,16:52:31.703195
73.612673,32.999999,-1.2965692734,4,3,16:52:57.579277
73.508339,33.000002,-1.2300131508,8,1,16:53:10.977985
73.716043,33.000007,-1.2300131508,5,2,16:54:02.860932
73.612187,33.000002,-1.2960692274,4,3,16:54:27.623184
73.510315,33.140863,-1.2200122308,7,1,16:54:41.646448
73.717969,33.140857,-1.2200122308,4,2,16:55:33.534958
73.61414,33.140864,-1.2897186432,5,3,16:55:59.053336
73.513372,33.140863,-1.2250126908,6,1,16:56:13.577183
73.717897,33.140862,-1.2250126908,4,2,16:57:04.836039
73.615634,33.140865,-1.291118772,5,3,16:57:29.711075
73.51157,33.14086,-1.2300131508,6,1,16:57:43.717759
73.714928,33.140857,-1.2300131508,3,2,16:58:34.734281
73.61325,33.140859,-1.2907187352,2,3,16:58:58.369139
