x,y,z,Pixel Trigger Value,Point Type,Time
73.474644,33.999998,-1.3000195908,7,1,13:19:37.200196
73.612368,33.999997,-1.3000195908,4,2,13:20:15.089907
73.543502,33.999999,-1.3609751982,4,3,13:20:38.457133
73.47828,33.999997,-1.3050200508,6,1,13:21:06.111938
73.607681,33.999996,-1.3050200508,5,2,13:21:42.351363
73.542983,34.000002,-1.349124108,4,3,13:22:02.425338
73.473895,33.999996,-1.3100205108,7,1,13:22:29.189531
73.616703,33.999996,-1.3100205108,5,2,13:23:08.103687
73.545298,33.999995,-1.3595750694,4,3,13:23:29.293331
73.454915,33.613809,-1.3000195908,6,1,13:23:54.678255
73.435379,33.613806,-1.3000195908,3,2,13:24:01.248699
73.445143,33.613801,-1.2799177416,1,3,13:24:07.811639
73.45815,33.61381,-1.3050200508,6,1,13:24:30.420118
73.44014,33.613812,-1.3050200508,3,2,13:24:37.252893
73.449148,33.613807,-1.2842681418,4,3,13:24:43.818295
73.462298,33.613808,-1.3100205108,6,1,13:25:07.294465
73.442897,33.61381,-1.3100205108,1,2,13:25:13.858184
73.4526,33.613813,-1.2887685558,2,3,13:25:20.295780
