x,y,z,Pixel Trigger Value,Point Type,Time
43.204569,-9.999997,4.8299943186,8,1,10:52:05.331127
43.202514,-9.999993,4.8299943186,16,1,10:52:06.214744
43.202287,-9.999995,4.8299943186,14,1,10:52:07.099581
43.201812,-9.999998,4.8299943186,10,1,10:52:07.993005
43.202314,-10.000006,4.8299943186,10,1,10:52:08.886042
43.202189,-9.999996,4.8299943186,14,1,10:52:09.654544
43.204066,-10,4.8299943186,18,1,10:52:10.507105
43.202537,-9.999999,4.8299943186,15,1,10:52:11.394230
43.202365,-9.999995,4.8299943186,14,1,10:52:12.287428
43.207279,-9.999988,4.8299943186,9,1,10:52:13.187225
43.202268,-10.000001,4.8299943186,15,1,10:52:14.036713
43.20249,-9.999995,4.8299943186,13,1,10:52:14.930470
43.20189,-9.999997,4.8299943186,13,1,10:52:15.812419
43.20189,-9.999998,4.8299943186,13,1,10:52:16.707148
43.201039,-9.999991,4.8299943186,12,1,10:52:17.481950
43.202041,-9.999999,4.8299943186,13,1,10:52:18.362183
43.202269,-9.999996,4.8299943186,15,1,10:52:19.129004
43.202013,-10.000002,4.8299943186,13,1,10:52:19.978851
43.200606,-9.999995,4.8299943186,9,1,10:52:20.742714
43.202216,-10,4.8299943186,10,1,10:52:21.630093
43.200488,-10.000002,4.8299943186,16,1,10:52:22.394323
43.202137,-10.000002,4.8299943186,14,1,10:52:23.276521
43.202638,-9.999993,4.8299943186,13,1,10:52:24.171935
43.20219,-9.999997,4.8299943186,15,1,10:52:25.026022
43.202514,-9.999999,4.8299943186,17,1,10:52:25.917828
43.200778,-9.999999,4.8299943186,11,1,10:52:26.687040
43.202487,-9.999998,4.8299943186,11,1,10:52:27.569486
43.202391,-9.999997,4.8299943186,17,1,10:52:28.456206
43.203994,-9.999995,4.8299943186,16,1,10:52:29.314036
43.200838,-9.999999,4.8299943186,14,1,10:52:30.089058
