x,y,z,Pixel Trigger Value,Point Type,Time
73.540544,34.699999,-0.8100245154,8,1,11:35:47.739586
73.66763,34.699998,-0.8100245154,5,2,11:36:23.485107
73.604087,34.700002,-0.8609291982,4,3,11:36:44.941100
73.5419,34.699998,-0.8150249754,6,1,11:37:04.900152
73.522275,34.699996,-0.8150249754,0,2,11:37:11.454154
73.532091,34.699995,-0.7947231078,3,3,11:37:18.011856
73.545441,34.700005,-0.8199754308,7,1,11:37:37.980725
73.525583,34.700002,-0.8199754308,0,2,11:37:44.544690
73.535516,34.700001,-0.799573554,4,3,11:37:51.122578
73.525782,34.360823,-0.8100245154,9,1,11:38:10.167211
73.677561,34.360823,-0.8100245154,5,2,11:38:50.843026
73.601672,34.360821,-0.8849814108,3,3,11:39:17.227138
73.525965,34.360822,-0.8150249754,6,1,11:39:34.036473
73.506566,34.360827,-0.8150249754,1,2,11:39:40.597937
73.516265,34.360827,-0.7945230894,1,3,11:39:47.164259
73.524713,34.360826,-0.8199754308,6,1,11:40:02.815093
73.505376,34.360826,-0.8199754308,2,2,11:40:09.382626
73.515041,34.360823,-0.7995235494,1,3,11:40:15.953826
73.552237,34.877562,-0.8100245154,7,1,11:40:42.089090
73.665516,34.877562,-0.8100245154,5,2,11:41:15.047864
73.608874,34.877557,-0.8491281126,5,3,11:41:33.989170
73.556189,34.877566,-0.8150249754,6,1,11:41:56.852191
73.663513,34.877558,-0.8150249754,2,2,11:42:28.666518
73.609851,34.877561,-0.8497281678,4,3,11:42:46.719705
73.554482,34.877572,-0.8199754308,7,1,11:43:09.203054
73.534611,34.877568,-0.8199754308,1,2,11:43:15.768126
73.544548,34.877567,-0.8032738944,5,3,11:43:23.094434
73.51834,34.211343,-0.8100245154,7,1,11:43:43.809373
73.499656,34.21134,-0.8100245154,0,2,11:43:50.485988
73.508998,34.211341,-0.7894726248,2,3,11:43:57.067066
73.517745,34.21134,-0.8150249754,6,1,11:44:11.327077
73.503414,34.211331,-0.8150249754,0,2,11:44:18.909041
73.510577,34.211331,-0.7946230986,2,3,11:44:25.483329
73.519703,34.211334,-0.8199754308,6,1,11:44:40.129807
73.500366,34.211337,-0.8199754308,1,2,11:44:46.701741
73.510034,34.211337,-0.7992235218,3,3,11:44:53.273120
