x,y,z,Pixel Trigger Value,Point Type,Time
73.610934,35.999996,-0.8100245154,6,1,11:45:01.062194
73.640681,36.000008,-0.8100245154,4,2,11:45:17.365882
73.625805,36.000008,-0.8322765624,5,3,11:45:32.511753
73.626998,36.00001,-0.8351268246,6,1,11:45:43.108672
73.608013,36.000006,-0.8351268246,1,2,11:45:49.673748
73.617507,36.000008,-0.8248758816,5,3,11:45:58.262522
73.615706,36.000007,-0.8277261438,6,1,11:46:08.356677
73.596828,36.000005,-0.8277261438,0,2,11:46:14.934065
73.606268,36.000005,-0.8072242578,3,3,11:46:21.498636
