x,y,z,Pixel Trigger Value,Point Type,Time
73.611481,36,-0.8100245154,8,1,12:04:26.217598
73.639926,36.000003,-0.8100245154,4,2,12:04:42.265207
73.625702,36.000006,-0.8324765808,5,3,12:04:57.546237
73.610823,36.000006,-0.8150249754,6,1,12:05:10.544382
73.638685,36.000005,-0.8150249754,5,2,12:05:26.449561
73.624755,36.000004,-0.8338767096,5,3,12:05:40.976827
73.610143,36.000003,-0.8199754308,7,1,12:05:53.847477
73.59148,35.999999,-0.8199754308,0,2,12:06:00.553102
73.600811,36.000004,-0.7994235402,0,3,12:06:07.117060
