x,y,z,Pixel Trigger Value,Point Type,Time
73.535038,34.700004,-0.8100245154,6,1,10:52:24.165727
73.515637,34.700001,-0.8100245154,0,2,10:52:30.733938
73.52534,34.700003,-0.7892726064,3,3,10:52:37.302155
73.540522,34.700002,-0.8150249754,6,1,10:52:56.228460
73.670049,34.700003,-0.8150249754,4,2,10:53:32.462742
73.60528,34.700008,-0.8606291706,5,3,10:53:52.794440
73.546113,34.700002,-0.8199754308,7,1,10:54:13.642355
73.668024,34.700003,-0.8199754308,3,2,10:54:48.373002
73.607067,34.700008,-0.863329419,5,3,10:55:08.190143
73.577776,35.262631,-0.8100245154,6,1,10:55:39.888388
73.648551,35.262618,-0.8100245154,5,2,10:56:04.385557
73.613167,35.262622,-0.8263760196,5,3,10:56:18.640333
73.582778,35.262625,-0.8150249754,6,1,10:56:46.931495
73.563243,35.262628,-0.8150249754,1,2,10:56:53.489772
73.573013,35.262625,-0.7956731952,5,3,10:57:00.192394
73.591629,35.262623,-0.8199754308,6,1,10:57:29.737162
73.571725,35.262625,-0.8199754308,0,2,10:57:36.301651
73.581677,35.262619,-0.8133748236,4,3,10:57:45.649192
73.504467,33.799329,-0.8100245154,6,1,10:58:11.670873
73.670493,33.799323,-0.8100245154,4,2,10:58:55.220562
73.587478,33.799326,-0.923084916,3,3,10:59:29.196053
73.501895,33.799286,-0.8149749708,6,1,10:59:41.200635
73.482091,33.799264,-0.8149749708,1,2,10:59:47.771086
73.491993,33.799274,-0.7944230802,0,3,10:59:54.342057
73.504532,33.799336,-0.8199754308,6,1,11:00:05.955547
73.485154,33.799332,-0.8199754308,1,2,11:00:12.522540
73.494844,33.799331,-0.7994735448,0,3,11:00:19.098874
