x,y,z,Pixel Trigger Value,Point Type,Time
73.612299,36,-0.8100245154,9,1,12:06:55.744216
73.638775,35.999996,-0.8100245154,5,2,12:07:11.385766
73.625537,35.999999,-0.8331766452,5,3,12:07:26.797908
73.610523,35.999998,-0.8150249754,7,1,12:07:39.670097
73.63961,36.000003,-0.8150249754,4,2,12:07:55.845054
73.625067,35.999999,-0.834326751,5,3,12:08:10.494926
73.610813,35.999999,-0.8199754308,7,1,12:08:23.500022
73.641787,36.000006,-0.8199754308,3,2,12:08:40.040899
73.6263,36.000004,-0.8337266958,5,3,12:08:53.543631
