x,y,z,Pixel Trigger Value,Point Type,Time
73.652872,37.700002,-0.6100061154,5,1,11:39:06.608911
73.639715,37.700001,-0.6100061154,0,2,11:39:14.331235
73.646292,37.699999,-0.5898542616,0,3,11:39:20.902369
73.639625,37.700001,-0.6150065754,4,1,11:39:50.311219
73.620697,37.699999,-0.6150065754,2,2,11:39:56.878634
73.630159,37.700001,-0.5945046894,0,3,11:40:03.441379
73.660627,37.700002,-0.6200070354,5,1,11:40:36.917370
73.653986,37.700003,-0.6200070354,0,2,11:40:45.985415
73.657308,37.700002,-0.6116062626,3,3,11:40:54.965830
73.663667,37.834904,-0.6100061154,5,1,11:41:29.422560
73.654689,37.834907,-0.6100061154,0,2,11:41:38.012288
73.659177,37.834906,-0.6045056094,3,3,11:41:47.499696
73.661191,37.83491,-0.6150065754,4,1,11:42:21.344956
73.651665,37.834901,-0.6150065754,0,2,11:42:29.789851
73.656429,37.834906,-0.6051056646,3,3,11:42:38.379348
73.66063,37.834911,-0.6200070354,7,1,11:43:12.109669
73.647971,37.834906,-0.6200070354,0,2,11:43:19.930926
73.654299,37.834912,-0.6047556324,3,3,11:43:27.500843
