x,y,z,Pixel Trigger Value,Point Type,Time
73.537227,34.700001,-0.8100245154,6,1,10:41:32.688183
73.665573,34.700003,-0.8100245154,5,2,10:42:08.676625
73.601398,34.7,-0.8624293362,4,3,10:42:30.415264
73.541817,34.700001,-0.8150249754,6,1,10:42:50.350270
73.665634,34.699996,-0.8150249754,4,2,10:43:25.467736
73.603725,34.7,-0.8627793684,4,3,10:43:46.165714
73.544937,34.7,-0.8199754308,6,1,10:44:06.755254
73.664323,34.699995,-0.8199754308,5,2,10:44:40.961991
73.604627,34.699994,-0.862079304,5,3,10:45:00.530992
73.550698,34.879422,-0.8100245154,6,1,10:45:23.011197
73.531613,34.879427,-0.8100245154,0,2,10:45:29.577783
73.541158,34.879421,-0.792322887,5,3,10:45:36.674236
73.553749,34.879424,-0.8150249754,8,1,10:45:58.389659
73.533876,34.879427,-0.8150249754,0,2,10:46:04.948425
73.543811,34.879431,-0.8061241566,3,3,10:46:13.897388
73.555726,34.879428,-0.8199754308,6,1,10:46:36.015319
73.654187,34.879424,-0.8199754308,5,2,10:47:06.050879
73.604955,34.879421,-0.8475279654,5,3,10:47:22.613586
73.535381,34.665383,-0.8100245154,6,1,10:47:42.423200
73.667451,34.665382,-0.8100245154,3,2,10:48:19.167554
73.601418,34.665383,-0.86507958,3,3,10:48:41.403187
73.540534,34.665386,-0.8150249754,6,1,10:49:01.112589
73.666155,34.665384,-0.8150249754,3,2,10:49:36.594240
73.603344,34.665382,-0.8577789084,5,3,10:49:56.400383
73.543098,34.665378,-0.8199754308,6,1,10:50:16.627898
73.673201,34.665384,-0.8199754308,4,2,10:50:52.975619
73.608151,34.665385,-0.8571288486,5,3,10:51:11.679529
