x,y,z,Pixel Trigger Value,Point Type,Time
43.18924,-10.000001,4.8299943186,6,1,10:53:57.616386
43.190111,-10.000001,4.8299943186,10,1,10:53:58.472634
43.189296,-9.999998,4.8299943186,10,1,10:53:59.362037
43.189527,-10.000003,4.8299943186,9,1,10:54:00.254512
43.192246,-9.999997,4.8299943186,8,1,10:54:01.147036
43.189402,-10.000002,4.8299943186,6,1,10:54:02.037339
43.1902,-9.999997,4.8299943186,10,1,10:54:02.896524
43.18921,-9.999997,4.8299943186,6,1,10:54:03.781278
43.18939,-9.999999,4.8299943186,10,1,10:54:04.676703
43.189645,-9.999998,4.8299943186,8,1,10:54:05.565522
43.18959,-9.999999,4.8299943186,8,1,10:54:06.423363
43.189421,-9.999994,4.8299943186,8,1,10:54:07.317079
43.188215,-9.999999,4.8299943186,10,1,10:54:08.077092
43.189434,-10.000002,4.8299943186,9,1,10:54:08.962727
43.188878,-10.000003,4.8299943186,8,1,10:54:09.858289
43.192294,-10,4.8299943186,18,1,10:54:10.753408
43.189595,-9.999994,4.8299943186,7,1,10:54:11.513729
43.1883,-9.999998,4.8299943186,10,1,10:54:12.238126
43.188426,-9.999995,4.8299943186,10,1,10:54:13.001915
43.188483,-9.999995,4.8299943186,10,1,10:54:13.761570
43.189378,-10.000001,4.8299943186,9,1,10:54:14.638765
43.188253,-9.999999,4.8299943186,10,1,10:54:15.408781
43.188454,-9.999995,4.8299943186,10,1,10:54:16.170650
43.189162,-9.999998,4.8299943186,11,1,10:54:16.952300
43.188379,-9.999994,4.8299943186,9,1,10:54:17.817483
43.188394,-9.999997,4.8299943186,7,1,10:54:18.584604
43.188623,-9.999997,4.8299943186,9,1,10:54:19.341198
43.188269,-9.999994,4.8299943186,8,1,10:54:20.096678
43.189294,-9.999997,4.8299943186,12,1,10:54:20.849861
43.189563,-9.999997,4.8299943186,14,1,10:54:21.618187
