x,y,z,Pixel Trigger Value,Point Type,Time
73.649253,37.700001,-0.6100061154,4,1,16:01:47.826548
73.644844,37.700002,-0.6100061154,1,2,16:01:57.293579
73.647049,37.699999,-0.5896042386,0,3,16:02:03.865047
73.654193,37.700004,-0.6150065754,4,1,16:02:36.179949
73.635506,37.700003,-0.6150065754,0,2,16:02:42.877054
73.644852,37.700008,-0.594554694,0,3,16:02:49.450474
73.663913,37.699999,-0.6180068514,4,1,16:03:23.670893
73.644088,37.700001,-0.6180068514,2,2,16:03:30.240324
73.653997,37.700003,-0.5972049378,0,3,16:03:36.787519
73.647288,37.615896,-0.6100061154,4,1,16:04:07.870401
73.645331,37.615894,-0.6100061154,2,2,16:04:17.840817
73.646312,37.615901,-0.5896542432,0,3,16:04:24.407964
73.647938,37.615901,-0.6150065754,4,1,16:04:55.469221
73.643533,37.615897,-0.6150065754,2,2,16:05:04.937276
73.645736,37.615903,-0.5947547124,0,3,16:05:11.508298
73.642958,37.615896,-0.6180068514,4,1,16:05:41.553257
73.624314,37.615894,-0.6180068514,0,2,16:05:48.121479
73.633636,37.615894,-0.59755497,0,3,16:05:54.677306
