x,y,z,Pixel Trigger Value,Point Type,Time
73.536123,34.7,-0.8100245154,6,1,11:10:35.325509
73.517365,34.700001,-0.8100245154,1,2,11:10:42.021346
73.526741,34.700003,-0.7896726432,3,3,11:10:48.562739
73.541012,34.700001,-0.8150249754,6,1,11:11:07.637441
73.668088,34.700001,-0.8150249754,3,2,11:11:43.380350
73.604543,34.7,-0.8620292994,5,3,11:12:04.075887
73.546165,34.700003,-0.8199754308,6,1,11:12:24.934867
73.528145,34.700005,-0.8199754308,0,2,11:12:31.739488
73.537156,34.700003,-0.8050240554,5,3,11:12:39.324927
73.539876,34.708368,-0.8100245154,6,1,11:12:58.271688
73.670011,34.708367,-0.8100245154,5,2,11:13:34.624816
73.604945,34.708365,-0.8604291522,4,3,11:13:55.970568
73.541303,34.708366,-0.8150249754,6,1,11:14:15.804486
73.668789,34.708365,-0.8150249754,4,2,11:14:51.654529
73.605045,34.708364,-0.8597790924,5,3,11:15:11.858606
73.548746,34.708364,-0.8199754308,9,1,11:15:33.203082
73.530085,34.708362,-0.8199754308,1,2,11:15:39.905315
73.539415,34.708363,-0.8020237794,5,3,11:15:46.962675
73.534276,34.602756,-0.8100245154,6,1,11:16:05.285274
73.668811,34.602758,-0.8100245154,4,2,11:16:42.522207
73.601544,34.602752,-0.8699300262,3,3,11:17:05.754238
73.535956,34.602756,-0.8150249754,7,1,11:17:24.447887
73.66553,34.602754,-0.8150249754,4,2,11:18:00.713581
73.600745,34.602757,-0.8692299618,5,3,11:18:22.790706
73.536786,34.602756,-0.8199754308,6,1,11:18:41.736991
73.518793,34.602754,-0.8199754308,0,2,11:18:48.577531
73.527788,34.602751,-0.7991735172,2,3,11:18:55.107670
